customEvent:face_count | deviceCategory | eventCount
83036 | desktop | 2
845281 | desktop | 2
84610 | desktop | 2
849960 | desktop | 2
852079 | desktop | 2
85373 | desktop | 2
86050 | desktop | 2
868 | desktop | 2
875326 | desktop | 2
883190 | desktop | 2
89092 | desktop | 2
89289 | desktop | 2
89343 | desktop | 2
897868 | desktop | 2
90014 | desktop | 2
906826 | desktop | 2
912036 | desktop | 2
917515 | desktop | 2
9216 | desktop | 2
936 | desktop | 2
943264 | desktop | 2
94354 | desktop | 2
947854 | desktop | 2
950636 | desktop | 2
95121 | desktop | 2
958100 | desktop | 2
961402 | desktop | 2
96333 | desktop | 2
96334 | desktop | 2
966055 | desktop | 2
9813 | desktop | 2
10 | desktop | 1
1000 | desktop | 1
1000000 | desktop | 1
1000092 | desktop | 1
1000226 | desktop | 1
1001102 | desktop | 1
1001205 | desktop | 1
1002660 | desktop | 1
1003196 | desktop | 1
1004 | desktop | 1
100492 | desktop | 1
1005264 | desktop | 1
1007808 | desktop | 1
1008 | desktop | 1
10080 | desktop | 1
1008728 | desktop | 1
1009304 | desktop | 1
101381 | desktop | 1
10146 | desktop | 1
10156 | desktop | 1
10162 | desktop | 1
101697 | desktop | 1
1018432 | desktop | 1
10196 | desktop | 1
102 | desktop | 1
10253 | desktop | 1
1026 | desktop | 1
102616 | desktop | 1
1026411 | desktop | 1
1026552 | desktop | 1
102672 | desktop | 1
103008 | tablet | 1
103014 | desktop | 1
1033853 | desktop | 1
1033927 | desktop | 1
1033939 | desktop | 1
103613 | desktop | 1
103706 | desktop | 1
103725 | desktop | 1
103739 | desktop | 1
103750 | desktop | 1
103955 | desktop | 1
10400 | desktop | 1
104022 | desktop | 1
1041633 | mobile | 1
10434 | mobile | 1
10436 | desktop | 1
1045580 | desktop | 1
104717 | desktop | 1
1049100 | desktop | 1
104960 | desktop | 1
1050800 | desktop | 1
1052517 | desktop | 1
10566 | desktop | 1
1060148 | desktop | 1
1061340 | desktop | 1
10632 | desktop | 1
1063914 | desktop | 1
1064435 | desktop | 1
1065 | desktop | 1
1065455 | desktop | 1
106576 | desktop | 1
106655 | desktop | 1
10670 | desktop | 1
106869 | desktop | 1
107560 | desktop | 1
1078 | desktop | 1
1080 | desktop | 1
1081813 | desktop | 1
10834 | desktop | 1
10840 | desktop | 1
108492 | desktop | 1
1087394 | desktop | 1
108795 | desktop | 1
108981 | desktop | 1
108998 | desktop | 1
1091 | desktop | 1
1092642 | desktop | 1
1093 | desktop | 1
109422 | desktop | 1
1095322 | desktop | 1
1096 | desktop | 1
10962 | desktop | 1
1096621 | desktop | 1
1096741 | desktop | 1
1099415 | desktop | 1
10998 | desktop | 1
1101595 | desktop | 1
11058 | desktop | 1
1106206 | desktop | 1
110694 | desktop | 1
110861 | desktop | 1
1109514 | desktop | 1
1111412 | desktop | 1
1112645 | desktop | 1
1117158 | desktop | 1
1118668 | desktop | 1
1119 | desktop | 1
1124 | desktop | 1
1124766 | desktop | 1
1124916 | desktop | 1
1125000 | desktop | 1
1125154 | desktop | 1
112672 | desktop | 1
112679 | desktop | 1
112807 | desktop | 1
113119 | desktop | 1
11316 | desktop | 1
1132894 | desktop | 1
1135610 | desktop | 1
1135707 | desktop | 1
1138352 | desktop | 1
11396 | desktop | 1
114 | desktop | 1
1141739 | mobile | 1
11432 | desktop | 1
1143264 | desktop | 1
11451 | mobile | 1
11462 | desktop | 1
114792 | desktop | 1
11488 | desktop | 1
1150178 | desktop | 1
1150678 | desktop | 1
11518 | desktop | 1
1152 | desktop | 1
1153464 | desktop | 1
1154594 | desktop | 1
1154987 | desktop | 1
115573 | desktop | 1
11568 | desktop | 1
115690 | desktop | 1
1164 | desktop | 1
1165494 | desktop | 1
11658 | desktop | 1
1166003 | desktop | 1
1166700 | desktop | 1
1168361 | desktop | 1
11738 | desktop | 1
117564 | desktop | 1
1175804 | desktop | 1
117583 | desktop | 1
11794 | desktop | 1
1184 | desktop | 1
1184067 | desktop | 1
118462 | desktop | 1
1186357 | desktop | 1
1194 | desktop | 1
1196030 | desktop | 1
119939 | desktop | 1
11996 | desktop | 1
1199832 | desktop | 1
1200 | desktop | 1
120000 | desktop | 1
120024 | desktop | 1
12018 | mobile | 1
1211904 | desktop | 1
1212 | mobile | 1
121261 | desktop | 1
1214785 | desktop | 1
1217402 | desktop | 1
12189 | desktop | 1
12196 | desktop | 1
1221865 | desktop | 1
1222405 | desktop | 1
122296 | desktop | 1
1224602 | desktop | 1
1226 | desktop | 1
122719 | desktop | 1
1228766 | desktop | 1
1231062 | desktop | 1
12380 | desktop | 1
12388 | desktop | 1
1239249 | desktop | 1
1239957 | desktop | 1
124 | desktop | 1
1240325 | desktop | 1
1241 | desktop | 1
124134 | desktop | 1
1244674 | desktop | 1
1244854 | mobile | 1
124648 | desktop | 1
124832 | desktop | 1
125334 | desktop | 1
12538 | desktop | 1
1257432 | desktop | 1
1258560 | desktop | 1
1258566 | desktop | 1
125968 | desktop | 1
12613 | desktop | 1
126480 | mobile | 1
126488 | desktop | 1
12661 | desktop | 1
128147 | desktop | 1
12815 | desktop | 1
1281720 | desktop | 1
1282 | desktop | 1
128435 | desktop | 1
1286390 | desktop | 1
1287275 | desktop | 1
12920 | mobile | 1
12924 | mobile | 1
12959 | desktop | 1
129640 | desktop | 1
12982 | desktop | 1
1312 | desktop | 1
13142 | desktop | 1
1314561 | desktop | 1
1316234 | desktop | 1
13184 | desktop | 1
1319385 | desktop | 1
1319452 | desktop | 1
1325008 | desktop | 1
13259 | desktop | 1
1332 | desktop | 1
