customEvent:face_count | customEvent:file_size_mb | deviceCategory | operatingSystem | customEvent:repair_type | eventCount
77593 | 4.2 | desktop | Windows | auto | 1
785215 | 39.3 | desktop | Macintosh | auto | 1
785713 | 39.3 | desktop | Macintosh | auto | 1
79238 | 3.8 | desktop | Windows | fillHoles | 1
810513 | 40.1 | desktop | Macintosh | auto | 1
811226 | 38.9 | desktop | Windows | auto | 1
820469 | 58.1 | desktop | Windows | auto | 1
84309 | 6.5 | desktop | Windows | auto | 1
85237 | 4.1 | desktop | Windows | fillHoles | 1
85489 | 5.2 | desktop | Windows | auto | 1
855011 | 44.4 | desktop | Windows | auto | 1
86050 | 4.6 | desktop | Windows | auto | 1
867537 | 43 | desktop | Macintosh | auto | 1
867541 | 43 | desktop | Macintosh | fillHoles | 1
869864 | 43.1 | desktop | Macintosh | auto | 1
873969 | 42.2 | desktop | Windows | auto | 1
874895 | 43.4 | desktop | Macintosh | auto | 1
878333 | 42.5 | desktop | Windows | fillHoles | 1
88922 | 6.8 | desktop | Windows | auto | 1
88922 | 6.8 | desktop | Windows | fillHoles | 1
89092 | 4.3 | desktop | Windows | auto | 1
893928 | 43.4 | desktop | Macintosh | auto | 1
90239 | 4.5 | desktop | Windows | auto | 1
90495 | 4.4 | desktop | Windows | fillHoles | 1
927994 | 46.2 | desktop | Macintosh | auto | 1
930382 | 45 | desktop | Macintosh | auto | 1
937401 | 46.5 | desktop | Macintosh | auto | 1
937906 | 46.6 | desktop | Macintosh | auto | 1
941845 | 46.1 | desktop | Windows | auto | 1
945691 | 47 | desktop | Windows | auto | 1
95760 | 5.7 | desktop | Windows | auto | 1
96334 | 5.4 | desktop | Macintosh | auto | 1
965346 | 46.5 | desktop | Macintosh | auto | 1
971937 | 94 | desktop | Windows | auto | 1
978526 | 48.8 | desktop | Windows | auto | 1
98023 | 5.5 | desktop | Windows | auto | 1
(225 rows)
