852620 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
103742 input:pmpZero=43 robustZero=28 committed:pmpZero=0 robustZero=1 final:pmpZero=4 robustZero=0
126542 input:pmpZero=51 robustZero=48 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
51333 input:pmpZero=18 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=1 robustZero=0
72780 input:pmpZero=10 robustZero=2 committed:pmpZero=1 robustZero=0 final:pmpZero=5 robustZero=0
93128 input:pmpZero=1 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
38554 input:pmpZero=120 robustZero=99 committed:pmpZero=0 robustZero=2 final:pmpZero=20 robustZero=0
42372 input:pmpZero=926 robustZero=926 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
39157 input:pmpZero=184 robustZero=6 committed:pmpZero=0 robustZero=4 final:pmpZero=0 robustZero=0
83597 input:pmpZero=63 robustZero=4 committed:pmpZero=3 robustZero=0 final:pmpZero=57 robustZero=0
38557 input:pmpZero=58 robustZero=48 committed:pmpZero=0 robustZero=0 final:pmpZero=5 robustZero=0
257598 input:pmpZero=7571 robustZero=132 committed:pmpZero=270 robustZero=0 final:pmpZero=5879 robustZero=0
96131 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
1432739 input:pmpZero=120 robustZero=120 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
93364 input:pmpZero=191 robustZero=8 committed:pmpZero=16 robustZero=1 final:pmpZero=109 robustZero=6
393207 input:pmpZero=6 robustZero=0 committed:pmpZero=1 robustZero=0 final:pmpZero=2 robustZero=0
45341 input:pmpZero=57 robustZero=93 committed:pmpZero=5 robustZero=16 final:pmpZero=0 robustZero=0
41705 input:pmpZero=384 robustZero=393 committed:pmpZero=2 robustZero=4 final:pmpZero=0 robustZero=0
52054 input:pmpZero=52 robustZero=18 committed:pmpZero=0 robustZero=0 final:pmpZero=29 robustZero=0
82323 input:pmpZero=2560 robustZero=2554 committed:pmpZero=0 robustZero=0 final:pmpZero=7 robustZero=0
260224 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=1 final:pmpZero=0 robustZero=0
92981 input:pmpZero=5 robustZero=3 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
611682 input:pmpZero=199 robustZero=26 committed:pmpZero=8 robustZero=2 final:pmpZero=152 robustZero=0
38753 input:pmpZero=174 robustZero=104 committed:pmpZero=9 robustZero=8 final:pmpZero=67 robustZero=0
85537 input:pmpZero=84 robustZero=0 committed:pmpZero=1 robustZero=0 final:pmpZero=76 robustZero=0
51355 input:pmpZero=273 robustZero=210 committed:pmpZero=15 robustZero=15 final:pmpZero=0 robustZero=0
859651 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
265590 input:pmpZero=13 robustZero=3 committed:pmpZero=1 robustZero=0 final:pmpZero=3 robustZero=0
70064 input:pmpZero=160 robustZero=160 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
451870 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
611677 input:pmpZero=158 robustZero=28 committed:pmpZero=9 robustZero=8 final:pmpZero=115 robustZero=0
948116 input:pmpZero=4 robustZero=4 committed:pmpZero=0 robustZero=4 final:pmpZero=0 robustZero=0
261582 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
51354 input:pmpZero=273 robustZero=210 committed:pmpZero=15 robustZero=15 final:pmpZero=0 robustZero=0
84617 input:pmpZero=3 robustZero=2 committed:pmpZero=0 robustZero=0 final:pmpZero=1 robustZero=0
236241 input:pmpZero=686 robustZero=8 committed:pmpZero=158 robustZero=0 final:pmpZero=679 robustZero=0
135793 input:pmpZero=211 robustZero=24 committed:pmpZero=14 robustZero=5 final:pmpZero=165 robustZero=0
859655 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
81083 input:pmpZero=692 robustZero=250 committed:pmpZero=44 robustZero=32 final:pmpZero=80 robustZero=0
257595 input:pmpZero=2597 robustZero=0 committed:pmpZero=211 robustZero=0 final:pmpZero=2520 robustZero=0
1176422 input:pmpZero=2252 robustZero=2250 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
257587 input:pmpZero=345 robustZero=0 committed:pmpZero=47 robustZero=1 final:pmpZero=342 robustZero=0
367344 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
519509 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
131326 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
409631 input:pmpZero=63 robustZero=0 committed:pmpZero=14 robustZero=0 final:pmpZero=63 robustZero=0
38492 input:pmpZero=7 robustZero=3 committed:pmpZero=0 robustZero=0 final:pmpZero=2 robustZero=0
277704 input:pmpZero=12 robustZero=4 committed:pmpZero=1 robustZero=0 final:pmpZero=7 robustZero=0
96675 input:pmpZero=2 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=2 robustZero=0
1368073 input:pmpZero=89 robustZero=11 committed:pmpZero=0 robustZero=0 final:pmpZero=54 robustZero=0
105858 input:pmpZero=3 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=3 robustZero=0
385609 input:pmpZero=1 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=1 robustZero=0
1681121 input:pmpZero=6 robustZero=0 committed:pmpZero=5 robustZero=0 final:pmpZero=6 robustZero=0
53449 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
99982 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
1368072 input:pmpZero=435 robustZero=31 committed:pmpZero=8 robustZero=5 final:pmpZero=168 robustZero=0
649540 input:pmpZero=10 robustZero=10 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
931877 input:pmpZero=607 robustZero=4 committed:pmpZero=36 robustZero=0 final:pmpZero=422 robustZero=0
39107 input:pmpZero=446 robustZero=320 committed:pmpZero=0 robustZero=0 final:pmpZero=18 robustZero=0
1368062 input:pmpZero=83 robustZero=3 committed:pmpZero=6 robustZero=2 final:pmpZero=23 robustZero=0
1368064 input:pmpZero=102 robustZero=11 committed:pmpZero=4 robustZero=0 final:pmpZero=63 robustZero=0
73192 input:pmpZero=6 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=2 robustZero=0
498979 input:pmpZero=569 robustZero=0 committed:pmpZero=59 robustZero=5 final:pmpZero=557 robustZero=0
94085 input:pmpZero=10 robustZero=8 committed:pmpZero=1 robustZero=4 final:pmpZero=6 robustZero=1
78224 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
59408 input:pmpZero=31 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=26 robustZero=0
838514 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
75103 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
252633 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
1368068 input:pmpZero=111 robustZero=0 committed:pmpZero=5 robustZero=3 final:pmpZero=95 robustZero=0
286886 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
740640 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
127249 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
91285 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
57312 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
78618 input:pmpZero=17 robustZero=15 committed:pmpZero=0 robustZero=0 final:pmpZero=2 robustZero=0
472005 input:pmpZero=22 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=19 robustZero=0
954132 input:pmpZero=1 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=1 robustZero=0
252785 input:pmpZero=0 robustZero=0 committed:pmpZero=1 robustZero=1 final:pmpZero=0 robustZero=0
