id	categories	faces	native 0.5.0 after	native final after	verdict(native)	audit 0.5.0 flagged steps	audit final flagged steps	ASan final	WASM 0.5.0	WASM final
80363	clean	1650	wt/h0/c1/z0/v3	wt/h0/c1/z0/v3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
80368	selfint	1592	wt/h0/c1/z1/v762.7	wt/h0/c1/z0/v762.7	better:degen-	0	0	completed	wt/h0/c1/z1	wt/h0/c1/z0
80610	nmV,nmE,degen,unoriented,selfint	1390	wt/h0/c1/z1/v21547.6	wt/h0/c1/z0/v21546	better:degen-	0	0	completed	wt/h0/c1/z1	wt/h0/c1/z0
81207	nmV,open,selfint	14764	open/h4/c2/z37/v28998.2	wt/h0/c2/z0/v28998.1	better:wt,holes-,degen-	0	0	completed	open/h4/c2/z37	wt/h0/c2/z0
81568	degen,multi,selfint	2826	wt/h0/c16/z1/v13970	wt/h0/c16/z0/v13970	changed:vol(0.5.0 too)	0	0	completed	wt/h0/c16/z1	wt/h0/c16/z0
82326	selfint	35384	wt/h0/c1/z0/v1525.2	wt/h0/c1/z0/v1525.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
84640	clean	932	wt/h0/c1/z0/v544.6	wt/h0/c1/z0/v544.6	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
84997	nmV,selfint	371368	open/h1/c1/z24/v73471.7	wt/h0/c1/z0/v73477.2	better:wt,holes-,degen-	0	0	(>20MB, skipped)	open/h1/c1/z24	wt/h0/c1/z0
85430	clean	5354	wt/h0/c1/z0/v42694.4	wt/h0/c1/z0/v42694.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
85887	nmV,nmE,multi,selfint	26676	wt/h0/c41/z4/v471610.6	wt/h0/c41/z0/v471611.4	better:degen-	0	0	completed	wt/h0/c41/z4	wt/h0/c41/z0
86648	nmV,open,multi,selfint	8604	wt/h0/c8/z0/v20295.5	wt/h0/c8/z0/v20241.1	same	0	0	completed	wt/h0/c8/z0	wt/h0/c8/z0
87343	nmV,nmE,open,degen,dup,multi,unoriented,selfint	21611	open/h39/c103/z75/v38649.9	open/h3/c98/z0/v44844.9	better:holes-,degen-,comps-	0	0	completed	open/h39/c103/z75	open/h3/c98/z0
